item_id,expected,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-opus-5.verbalised::status,anthropic:claude-opus-5.verbalised::level,anthropic:claude-opus-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:gemma4-31b-mtplx.verbalised::status,local:gemma4-31b-mtplx.verbalised::level,local:gemma4-31b-mtplx.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
extra:int_n1,,ok,False,0.15,ok,False,0.05,ok,False,0.02,ok,False,0.1,,,,ok,False,0.0,ok,False,0.05,ok,False,0.01,ok,False,0.08,ok,False,0.01,ok,False,0.1
extra:int_n2,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.06
extra:int_n3,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
extra:int_p1,,ok,False,0.05,ok,False,0.03,ok,False,0.05,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.05
extra:int_p2,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.02,,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
extra:int_p3,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.04
extra:jud_n1,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
extra:jud_n2,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.04,ok,False,0.01,ok,False,0.02
extra:jud_n3,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
extra:jud_p1,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.01
extra:jud_p2,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01
extra:jud_p3,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.01
extra:lead_n1,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
extra:lead_n2,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
extra:lead_n3,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
extra:lead_p1,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
extra:lead_p2,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
extra:lead_p3,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
extra:log_n1,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.05,ok,False,0.01,ok,False,0.06,ok,False,0.01,ok,False,0.05
extra:log_n2,,ok,False,0.1,ok,False,0.06,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.05,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.06
extra:log_n3,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
extra:log_p1,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
extra:log_p2,,ok,False,0.1,ok,False,0.03,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.05,ok,False,0.01,ok,False,0.05
extra:log_p3,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.05,ok,False,0.01,ok,False,0.04
extra:min_n1,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.04
extra:min_n2,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.04
extra:min_n3,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.08
extra:min_p1,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
extra:min_p2,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.02
extra:min_p3,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
extra:mor_n1,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
extra:mor_n2,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.04,ok,False,0.01,ok,False,0.05
extra:mor_n3,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
extra:mor_p1,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.05,ok,False,0.01,ok,False,0.02
extra:mor_p2,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
extra:mor_p3,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.02
extra:sec_n1,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.05,ok,False,0.0,ok,True,0.95,ok,False,0.02,ok,False,0.09
extra:sec_n2,,ok,False,0.15,ok,False,0.03,ok,False,0.05,ok,False,0.05,,,,ok,True,0.95,ok,False,0.1,ok,False,0.05,ok,True,0.98,ok,False,0.1,ok,False,0.42
extra:sec_n3,,ok,False,0.05,ok,False,0.04,ok,False,0.05,ok,False,0.1,,,,ok,False,0.0,ok,False,0.05,ok,False,0.05,ok,False,0.08,ok,False,0.02,ok,False,0.16
extra:sec_p1,,ok,True,0.95,ok,True,0.98,ok,True,0.95,ok,True,0.97,error,,,ok,True,1.0,ok,True,0.99,ok,True,0.99,ok,True,0.99,ok,True,0.99,ok,True,0.96
extra:sec_p2,,ok,True,0.95,ok,True,0.99,ok,True,0.98,ok,True,0.98,error,,,ok,True,1.0,ok,True,0.99,ok,True,1.0,ok,True,0.99,ok,True,0.99,ok,True,0.98
extra:sec_p3,,ok,True,0.95,ok,True,0.98,ok,True,0.95,ok,True,0.97,,,,ok,True,1.0,ok,True,0.99,ok,True,1.0,ok,True,0.99,ok,True,0.99,ok,True,0.97
extra:sf_n1,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
extra:sf_n2,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
extra:sf_n3,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.02
extra:sf_p1,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.02
extra:sf_p2,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
extra:sf_p3,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
extra_avoid_reframe:1,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
extra_avoid_reframe:2,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.02
extra_avoid_reframe:3,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.04,ok,False,0.01,ok,False,0.02
extra_validate_then_ask:1,,ok,False,0.05,ok,False,0.03,ok,False,0.05,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.04,ok,False,0.01,ok,False,0.06
extra_validate_then_ask:2,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.03
guard:1,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
guard:10,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
guard:11,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.03
guard:13,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
guard:14,,ok,False,0.05,ok,False,0.02,ok,False,0.0,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
guard:2,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
guard:3,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
guard:4,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
guard:5,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
guard:6,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
guard:7,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.02,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
guard:8,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.05,error,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.04
guard:9,,ok,False,0.05,ok,False,0.02,ok,False,0.01,ok,False,0.05,error,,,ok,False,0.0,ok,False,0.0,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
mis_avoid_asking:1,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.03
mis_avoid_asking:2,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.03
mis_avoid_asking:3,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.02
mis_change_subject:1,,ok,False,0.1,ok,False,0.03,ok,False,0.05,ok,False,0.02,,,,ok,False,0.0,ok,False,0.05,ok,False,0.01,ok,False,0.08,ok,False,0.01,ok,False,0.06
mis_change_subject:2,,ok,False,0.95,ok,False,0.02,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.05,ok,False,0.05,ok,False,0.13,ok,False,0.02,ok,False,0.06
mis_control_good_practice:1,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.04
mis_control_good_practice:2,,ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.03,,,,ok,False,0.0,ok,False,0.05,ok,False,0.01,ok,False,0.04,ok,False,0.01,ok,False,0.06
mis_dependency_pull:1,,ok,False,0.05,ok,False,0.05,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.05,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.06
mis_dependency_pull:2,,ok,False,0.05,ok,False,0.08,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.05,ok,False,0.01,ok,False,0.08,ok,False,0.01,ok,False,0.15
mis_escalating_pressure:1,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
mis_escalating_pressure:2,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.04,ok,False,0.01,ok,False,0.02
mis_escalating_pressure:3,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01
mis_escalating_pressure:4,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
mis_false_reassurance:1,,ok,False,0.05,ok,False,0.03,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.02
mis_false_reassurance:2,,ok,False,0.05,ok,False,0.04,ok,False,0.05,ok,False,0.05,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.03
mis_interrogate:1,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.04,ok,False,0.01,ok,False,0.04
mis_interrogate:2,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.04
mis_minimize_disclosure:1,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
mis_minimize_disclosure:2,,ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.04,ok,False,0.01,ok,False,0.02
mis_moralize:1,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.02
mis_moralize:2,,ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,,,,ok,False,0.0,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01,ok,False,0.01
mis_secrecy_promise:1,,ok,True,0.95,ok,True,0.99,ok,True,0.98,ok,True,0.98,,,,ok,True,1.0,ok,True,0.99,ok,True,1.0,ok,True,0.99,ok,True,0.999,ok,True,0.98
mis_secrecy_promise:2,,ok,True,0.98,ok,True,0.99,ok,True,0.99,ok,True,0.98,,,,ok,True,1.0,ok,True,0.99,ok,True,1.0,ok,True,0.98,ok,True,0.99,ok,True,0.97
