item_id,expected,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:gemma4-31b-mtplx.verbalised::status,local:gemma4-31b-mtplx.verbalised::level,local:gemma4-31b-mtplx.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
100:113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:131,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:137,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
100:139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:149,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:16,,ok,other,,ok,other,,ok,other,,,,,ok,other,,ok,other,,ok,other,,ok,other,,ok,other,,ok,other,
100:161,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:163,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,,,,,,,,,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,
100:165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:167,,ok,reflection,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
100:169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:179,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:191,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
100:193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:199,,ok,reflection,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
100:2,,ok,reflection,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
100:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:209,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:215,,ok,reflection,,ok,therapist_input,,ok,reflection,,,,,ok,therapist_input,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,other,
100:217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:225,,ok,reflection,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,therapist_input,
100:227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:229,,ok,reflection,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
100:231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:233,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,,,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,
100:235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:237,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:239,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,,,,,,,,,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,
100:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:26,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:271,,ok,reflection,,ok,reflection,,ok,reflection,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
100:273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:32,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:38,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
100:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
100:51,,ok,reflection,,ok,therapist_input,,ok,reflection,,,,,ok,therapist_input,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
100:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:6,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
100:61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:71,,ok,question,,ok,question,,ok,question,,,,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,
100:73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
100:79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:8,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
100:81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
100:95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
100:99,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
101:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
101:10,,ok,question,,ok,question,,ok,question,,,,,ok,question,,ok,reflection,,ok,question,,ok,question,,ok,question,,ok,question,
101:12,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
101:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
101:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
101:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
101:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
101:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
101:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
101:24,,ok,reflection,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
101:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
101:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
101:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
101:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
101:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
101:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
101:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
101:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
101:40,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
101:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
101:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
101:46,,ok,reflection,,ok,reflection,,ok,reflection,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
101:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
101:50,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
101:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
101:54,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
101:56,,ok,question,,ok,question,,ok,question,,,,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,
101:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
101:6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
101:60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
101:62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
101:8,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
102:0,,ok,other,,ok,other,,ok,other,,,,,ok,other,,ok,other,,ok,other,,ok,other,,ok,other,,ok,other,
102:10,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,,,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,
102:12,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
102:14,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,,,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,
102:16,,ok,therapist_input,,ok,therapist_input,,ok,other,,,,,,,,,,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,other,
102:18,,ok,other,,ok,other,,ok,other,,,,,ok,other,,ok,other,,ok,other,,ok,other,,ok,other,,ok,other,
102:2,,ok,question,,ok,question,,ok,question,,,,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,
102:4,,ok,reflection,,ok,reflection,,ok,reflection,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
102:6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
102:8,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
103:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
103:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
103:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
103:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
103:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
103:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
103:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
103:6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
103:8,,ok,reflection,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
104:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:12,,ok,other,,ok,other,,ok,other,,,,,ok,other,,ok,other,,ok,other,,ok,other,,ok,other,,ok,other,
104:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
104:18,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
104:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
104:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
104:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
104:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
104:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:38,,ok,reflection,,ok,reflection,,ok,reflection,,,,,,,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
104:4,,ok,question,,ok,question,,ok,question,,,,,ok,question,,ok,question,,ok,reflection,,ok,question,,ok,question,,ok,question,
104:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:42,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
104:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
104:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
104:6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
104:8,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
105:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
105:10,,ok,question,,ok,question,,ok,question,,,,,,,,,,,ok,question,,ok,question,,ok,question,,ok,question,
105:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
105:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
105:16,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
105:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
105:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
105:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
105:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
105:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
105:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
105:28,,ok,reflection,,ok,reflection,,ok,reflection,,,,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,,ok,reflection,
105:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
105:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
105:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
105:36,,ok,question,,ok,question,,ok,question,,,,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,
105:38,,ok,question,,ok,question,,ok,question,,,,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,,ok,question,
105:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
105:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
105:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
105:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,reflection,
105:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
105:48,,ok,other,,ok,other,,ok,other,,,,,,,,,,,ok,other,,ok,other,,ok,other,,ok,other,
105:6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,question,
105:8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,other,
106:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
106:10,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,,,,,,,,,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,
106:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,therapist_input,
106:14,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,,,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,,ok,therapist_input,
