item_id,expected,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-opus-5.verbalised::status,anthropic:claude-opus-5.verbalised::level,anthropic:claude-opus-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
omission:anthropic:1d83fe02:3:83c2dd15:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:3:83c2dd15:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:3:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.05
omission:anthropic:1d83fe02:3:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:3:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:4:53ff07e9:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.1,,,,ok,False,0.05,ok,False,0.03,ok,False,0.0,ok,False,0.05,,,,ok,False,0.02,ok,False,0.01,ok,False,0.05
omission:anthropic:1d83fe02:4:53ff07e9:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.01,ok,False,0.02,ok,False,0.02
omission:anthropic:1d83fe02:4:53ff07e9:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:4:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.05
omission:anthropic:1d83fe02:4:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:4:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:5:f2a38638:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.05,ok,False,0.03,ok,False,0.0,ok,False,0.05,,,,ok,False,0.02,ok,False,0.01,ok,False,0.04
omission:anthropic:1d83fe02:5:f2a38638:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:1d83fe02:5:f2a38638:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:5:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:1d83fe02:5:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:1d83fe02:5:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:6:73ca4aa5:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.05,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.04,ok,False,0.01,ok,False,0.05
omission:anthropic:1d83fe02:6:73ca4aa5:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.02,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:6:73ca4aa5:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:1d83fe02:6:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.05
omission:anthropic:1d83fe02:6:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:1d83fe02:6:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:65a31b2c:0:2c786744:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:65a31b2c:0:2c786744:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:65a31b2c:0:2c786744:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.04,ok,False,0.01,ok,False,0.02
omission:anthropic:65a31b2c:0:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:65a31b2c:0:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:65a31b2c:0:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:65a31b2c:1:395ad5f6:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.05,ok,False,0.03,ok,False,0.0,ok,False,0.05,,,,ok,False,0.03,ok,False,0.01,ok,False,0.06
omission:anthropic:65a31b2c:1:395ad5f6:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.15,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.05,,,,ok,False,0.06,ok,False,0.01,ok,False,0.03
omission:anthropic:65a31b2c:1:395ad5f6:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:65a31b2c:1:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.06
omission:anthropic:65a31b2c:1:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:65a31b2c:1:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:65a31b2c:2:f66f059d:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.05,ok,False,0.01,ok,False,0.04
omission:anthropic:65a31b2c:2:f66f059d:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:65a31b2c:2:f66f059d:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.04,ok,False,0.01,ok,False,0.02
omission:anthropic:65a31b2c:2:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:65a31b2c:2:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:65a31b2c:2:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:65a31b2c:3:108dfc79:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.02,error,,,ok,False,0.05,ok,False,0.01,ok,False,0.05,ok,False,0.01,ok,False,0.05
omission:anthropic:65a31b2c:3:108dfc79:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.02,error,,,ok,False,0.05,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:65a31b2c:3:108dfc79:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.02,error,,,ok,False,0.05,ok,False,0.01,ok,False,0.02,ok,False,0.01,ok,False,0.03
omission:anthropic:65a31b2c:3:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.05
omission:anthropic:65a31b2c:3:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:65a31b2c:3:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:65a31b2c:4:264cde71:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.04,ok,False,0.01,ok,False,0.04
omission:anthropic:65a31b2c:4:264cde71:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.04,ok,False,0.01,ok,False,0.03
omission:anthropic:65a31b2c:4:264cde71:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:65a31b2c:4:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:65a31b2c:4:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:65a31b2c:4:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:65a31b2c:5:be44e195:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.04,ok,False,0.01,ok,False,0.04
omission:anthropic:65a31b2c:5:be44e195:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:65a31b2c:5:be44e195:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:65a31b2c:5:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:65a31b2c:5:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:65a31b2c:5:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:65a31b2c:6:c468aa05:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.04
omission:anthropic:65a31b2c:6:c468aa05:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.05,ok,False,0.02,ok,False,0.0,ok,False,0.05,,,,ok,False,0.02,ok,False,0.01,ok,False,0.04
omission:anthropic:65a31b2c:6:c468aa05:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:65a31b2c:6:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:65a31b2c:6:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:65a31b2c:6:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:7b4f0f6c:0:f36a6e1c:t1,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,ok,False,0.02,ok,False,0.02,ok,False,0.03,error,,,ok,False,0.05,ok,False,0.01,ok,False,0.05,ok,False,0.01,ok,False,0.04
omission:anthropic:7b4f0f6c:0:f36a6e1c:t2,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,ok,False,0.04,ok,False,0.02,ok,False,0.03,error,,,ok,False,0.05,ok,False,0.01,ok,False,0.05,ok,False,0.01,ok,False,0.04
omission:anthropic:7b4f0f6c:0:f36a6e1c:t3,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.03,error,,,ok,False,0.05,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:7b4f0f6c:0:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:7b4f0f6c:0:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:7b4f0f6c:0:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:7b4f0f6c:2:718729e3:t1,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.04
omission:anthropic:7b4f0f6c:2:718729e3:t2,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:7b4f0f6c:2:718729e3:t3,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.05,,,,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:7b4f0f6c:2:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:7b4f0f6c:2:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:7b4f0f6c:2:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:7b4f0f6c:3:de288df1:t1,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.05,,,,ok,False,0.02,ok,False,0.01,ok,False,0.04
omission:anthropic:7b4f0f6c:3:de288df1:t2,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.05,,,,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:7b4f0f6c:3:de288df1:t3,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.05,,,,ok,False,0.04,ok,False,0.01,ok,False,0.02
omission:anthropic:7b4f0f6c:3:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:7b4f0f6c:3:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:7b4f0f6c:3:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:7b4f0f6c:4:884d6940:t1,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.02,ok,False,0.01,ok,False,0.03
omission:anthropic:7b4f0f6c:4:884d6940:t2,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.05,,,,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:7b4f0f6c:4:884d6940:t3,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.02,ok,False,0.01,ok,False,0.02
omission:anthropic:7b4f0f6c:4:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:7b4f0f6c:4:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:7b4f0f6c:4:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:7b4f0f6c:5:95ee20fa:t1,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.05,,,,ok,False,0.03,ok,False,0.01,ok,False,0.04
omission:anthropic:7b4f0f6c:5:95ee20fa:t2,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.05,,,,ok,False,0.03,ok,False,0.01,ok,False,0.04
omission:anthropic:7b4f0f6c:5:95ee20fa:t3,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.05,,,,ok,False,0.03,ok,False,0.01,ok,False,0.04
omission:anthropic:7b4f0f6c:5:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:7b4f0f6c:5:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:7b4f0f6c:5:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:7b4f0f6c:6:eb649cd6:t1,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:7b4f0f6c:6:eb649cd6:t2,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:7b4f0f6c:6:eb649cd6:t3,"{'omission': False, 'asks': 'immediately'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.05,,,,ok,False,0.05,ok,False,0.01,ok,False,0.03
omission:anthropic:7b4f0f6c:6:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:7b4f0f6c:6:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:7b4f0f6c:6:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:882a4b64:0:f35799c2:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.03,error,,,ok,False,0.05,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.04
omission:anthropic:882a4b64:0:f35799c2:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,ok,False,0.02,ok,False,0.05,ok,False,0.02,error,,,ok,False,0.01,ok,False,0.01,ok,False,0.04,ok,False,0.01,ok,False,0.02
omission:anthropic:882a4b64:0:f35799c2:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,ok,False,0.03,ok,False,0.02,ok,False,0.02,error,,,ok,False,0.05,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:882a4b64:0:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:882a4b64:0:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:882a4b64:0:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:882a4b64:1:b3574126:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.09,ok,False,0.01,ok,False,0.04
omission:anthropic:882a4b64:1:b3574126:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.03
omission:anthropic:882a4b64:1:b3574126:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:882a4b64:1:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.04
omission:anthropic:882a4b64:1:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.03
omission:anthropic:882a4b64:1:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:882a4b64:2:73c65dbd:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.03,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.05
omission:anthropic:882a4b64:2:73c65dbd:t2,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.03,ok,False,0.01,ok,False,0.02
omission:anthropic:882a4b64:2:73c65dbd:t3,"{'omission': True, 'asks': 'never'}",ok,False,0.05,,,,ok,False,0.02,ok,False,0.02,ok,False,0.0,ok,False,0.01,,,,ok,False,0.07,ok,False,0.01,ok,False,0.02
omission:anthropic:882a4b64:2:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.05
omission:anthropic:882a4b64:2:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:882a4b64:2:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,False,0.02
omission:anthropic:882a4b64:3:5e7c11cf:t1,"{'omission': True, 'asks': 'never'}",ok,False,0.15,ok,False,0.04,ok,False,0.05,ok,False,0.05,error,,,ok,False,0.05,ok,False,0.01,ok,False,0.03,ok,False,0.01,ok,False,0.05
