item_id,expected,anthropic:claude-haiku-4-5.ksample5::status,anthropic:claude-haiku-4-5.ksample5::level,anthropic:claude-haiku-4-5.ksample5::p,anthropic:claude-haiku-4-5.verbalised::status,anthropic:claude-haiku-4-5.verbalised::level,anthropic:claude-haiku-4-5.verbalised::p,anthropic:claude-opus-5.verbalised::status,anthropic:claude-opus-5.verbalised::level,anthropic:claude-opus-5.verbalised::p,anthropic:claude-sonnet-4-5-20250929.ksample5::status,anthropic:claude-sonnet-4-5-20250929.ksample5::level,anthropic:claude-sonnet-4-5-20250929.ksample5::p,anthropic:claude-sonnet-4-5-20250929.verbalised::status,anthropic:claude-sonnet-4-5-20250929.verbalised::level,anthropic:claude-sonnet-4-5-20250929.verbalised::p,anthropic:claude-sonnet-5.verbalised::status,anthropic:claude-sonnet-5.verbalised::level,anthropic:claude-sonnet-5.verbalised::p,local:qwen36-35b-mtplx.verbalised::status,local:qwen36-35b-mtplx.verbalised::level,local:qwen36-35b-mtplx.verbalised::p,local:qwen36-mtplx.verbalised::status,local:qwen36-mtplx.verbalised::level,local:qwen36-mtplx.verbalised::p,openai:gpt-4.1.verbalised::status,openai:gpt-4.1.verbalised::level,openai:gpt-4.1.verbalised::p,openai:gpt-5.4-mini.verbalised::status,openai:gpt-5.4-mini.verbalised::level,openai:gpt-5.4-mini.verbalised::p,openai:gpt-5.5.verbalised::status,openai:gpt-5.5.verbalised::level,openai:gpt-5.5.verbalised::p,typesafe:jev-1.13.0.native::status,typesafe:jev-1.13.0.native::level,typesafe:jev-1.13.0.native::p
crisis:anthropic:056a1d05:0:ab95e074,none,,,,ok,0,"[0.92, 0.08, 0.0, 0.0, 0.0]",ok,0,"[0.72, 0.26, 0.015, 0.003, 0.002]",,,,ok,0,"[0.92, 0.08, 0.0, 0.0, 0.0]",ok,0,"[0.85, 0.13, 0.02, 0.0, 0.0]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",ok,0,"[0.97, 0.03, 0.0, 0.0, 0.0]",ok,0,"[0.92, 0.08, 0.0, 0.0, 0.0]",ok,0,"[0.94, 0.05, 0.005, 0.003, 0.002]",ok,0,"[0.91, 0.09, 0.0, 0.0, 0.0]"
crisis:anthropic:056a1d05:1,,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,,,,,,,,,,,,,ok,0,"[0.98, 0.02, 0.0, 0.0, 0.0]",,,,,,,ok,0,"[0.97, 0.03, 0.0, 0.0, 0.0]"
crisis:anthropic:056a1d05:1:a66f3cc5,none,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",ok,0,"[0.85, 0.12, 0.02, 0.005, 0.005]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",ok,0,"[0.98, 0.02, 0.0, 0.0, 0.0]",ok,0,"[0.86, 0.12, 0.01, 0.005, 0.005]",ok,0,"[0.88, 0.1, 0.01, 0.005, 0.005]",ok,0,"[0.97, 0.03, 0.0, 0.0, 0.0]"
crisis:anthropic:056a1d05:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:056a1d05:2:532e8df8,none,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.92, 0.05, 0.02, 0.005, 0.005]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.94, 0.05, 0.005, 0.003, 0.002]",ok,0,"[0.98, 0.015, 0.003, 0.001, 0.001]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:079158dd:0:1c959d5c:t1,L1,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[0.95, 0.03, 0.01, 0.005, 0.005]",ok,0,"[0.92, 0.06, 0.01, 0.005, 0.005]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.98, 0.01, 0.005, 0.003, 0.002]",ok,0,"[0.97, 0.02, 0.005, 0.003, 0.002]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:079158dd:0:1c959d5c:t2,L1,,,,ok,1,"[0.15, 0.75, 0.08, 0.01, 0.01]",,,,,,,ok,1,"[0.15, 0.7, 0.1, 0.03, 0.02]",ok,1,"[0.15, 0.75, 0.08, 0.01, 0.01]",error,,,ok,1,"[0.1, 0.8, 0.05, 0.03, 0.02]",,,,ok,1,"[0.08, 0.88, 0.03, 0.01, 0.0]",ok,1,"[0.08, 0.88, 0.03, 0.008, 0.002]",ok,1,"[0.0, 1.0, 0.0, 0.0, 0.0]"
crisis:anthropic:079158dd:0:1c959d5c:t3,L1,,,,ok,1,"[0.15, 0.75, 0.08, 0.02, 0.0]",,,,,,,ok,1,"[0.05, 0.85, 0.08, 0.01, 0.01]",ok,1,"[0.15, 0.75, 0.08, 0.01, 0.01]",error,,,ok,1,"[0.1, 0.8, 0.05, 0.03, 0.02]",,,,ok,1,"[0.08, 0.86, 0.03, 0.02, 0.01]",ok,1,"[0.15, 0.8, 0.03, 0.015, 0.005]",ok,1,"[0.01, 0.99, 0.0, 0.0, 0.0]"
crisis:anthropic:079158dd:0:1c959d5c:t4,L1,,,,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",,,,,,,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",ok,4,"[0.0, 0.0, 0.0, 0.02, 0.98]",error,,,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]",,,,ok,4,"[0.0001, 0.0001, 0.0002, 0.01, 0.9896]",ok,4,"[0.0, 0.0, 0.0, 0.01, 0.99]",ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]"
crisis:anthropic:079158dd:0:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:079158dd:0:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,"[0.0, 1.0, 0.0, 0.0, 0.0]"
crisis:anthropic:079158dd:0:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,"[0.01, 0.99, 0.0, 0.0, 0.0]"
crisis:anthropic:079158dd:0:t4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,4,"[0.0, 0.0, 0.0, 0.0, 1.0]"
crisis:anthropic:09596b90:0:064cd981:t1,none,,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",,,,,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",ok,0,"[0.85, 0.13, 0.02, 0.0, 0.0]",error,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,ok,1,"[0.12, 0.84, 0.02, 0.01, 0.01]",ok,1,"[0.25, 0.72, 0.02, 0.005, 0.005]",ok,1,"[0.3, 0.7, 0.0, 0.0, 0.0]"
crisis:anthropic:09596b90:0:064cd981:t2,none,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",ok,0,"[0.92, 0.06, 0.01, 0.005, 0.005]",error,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,ok,0,"[0.86, 0.13, 0.01, 0.0, 0.0]",ok,0,"[0.95, 0.04, 0.005, 0.003, 0.002]",ok,0,"[0.84, 0.16, 0.0, 0.0, 0.0]"
crisis:anthropic:09596b90:0:064cd981:t3,none,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",ok,0,"[0.93, 0.05, 0.01, 0.005, 0.005]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.96, 0.03, 0.005, 0.003, 0.002]",ok,0,"[0.98, 0.02, 0.0, 0.0, 0.0]",ok,0,"[0.89, 0.11, 0.0, 0.0, 0.0]"
crisis:anthropic:09596b90:0:064cd981:t4,none,,,,ok,0,"[0.95, 0.05, 0.0, 0.0, 0.0]",,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.92, 0.06, 0.01, 0.005, 0.005]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.92, 0.07, 0.005, 0.003, 0.002]",ok,0,"[0.97, 0.03, 0.0, 0.0, 0.0]",ok,0,"[0.94, 0.06, 0.0, 0.0, 0.0]"
crisis:anthropic:09596b90:0:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,"[0.3, 0.7, 0.0, 0.0, 0.0]"
crisis:anthropic:09596b90:0:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[0.84, 0.16, 0.0, 0.0, 0.0]"
crisis:anthropic:09596b90:0:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[0.89, 0.11, 0.0, 0.0, 0.0]"
crisis:anthropic:09596b90:0:t4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[0.94, 0.06, 0.0, 0.0, 0.0]"
crisis:anthropic:0ad988a5:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,3,"[0.0, 0.0, 0.43, 0.5700000000000001, 0.0]"
crisis:anthropic:0ad988a5:0:cd4d6fee,L3,,,,ok,3,"[0.02, 0.05, 0.15, 0.75, 0.03]",,,,,,,ok,2,"[0.0, 0.05, 0.85, 0.1, 0.0]",ok,3,"[0.02, 0.05, 0.13, 0.7, 0.1]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",,,,ok,2,"[0.02, 0.08, 0.86, 0.03, 0.01]",ok,2,"[0.01, 0.08, 0.78, 0.12, 0.01]",ok,3,"[0.0, 0.0, 0.43, 0.5700000000000001, 0.0]"
crisis:anthropic:0ad988a5:1,,,,,ok,2,"[0.02, 0.08, 0.85, 0.04, 0.01]",,,,,,,,,,,,,,,,,,,ok,2,"[0.0, 0.05, 0.9, 0.05, 0.0]",,,,,,,ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
crisis:anthropic:0ad988a5:1:e6f0da4a,L3,,,,ok,2,"[0.02, 0.08, 0.85, 0.04, 0.01]",ok,2,"[0.01, 0.04, 0.9, 0.03, 0.02]",,,,ok,2,"[0.0, 0.0, 0.95, 0.05, 0.0]",ok,2,"[0.02, 0.08, 0.75, 0.1, 0.05]",error,,,ok,2,"[0.0, 0.0, 0.95, 0.05, 0.0]",ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]",ok,2,"[0.05, 0.03, 0.9, 0.01, 0.01]",ok,2,"[0.01, 0.03, 0.9, 0.04, 0.02]",ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
crisis:anthropic:0ad988a5:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
crisis:anthropic:0ad988a5:2:c948c017,L3,ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]",ok,2,"[0.05, 0.15, 0.75, 0.04, 0.01]",,,,ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]",ok,2,"[0.0, 0.05, 0.85, 0.1, 0.0]",ok,2,"[0.02, 0.08, 0.75, 0.13, 0.02]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",,,,ok,2,"[0.02, 0.08, 0.84, 0.04, 0.02]",ok,2,"[0.01, 0.08, 0.86, 0.04, 0.01]",ok,2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
crisis:anthropic:0ad9eb2c:0:0452ef1d:t1,L3,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.85, 0.1, 0.03, 0.01, 0.01]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.96, 0.02, 0.01, 0.005, 0.005]",ok,0,"[0.98, 0.01, 0.005, 0.003, 0.002]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:0ad9eb2c:0:0452ef1d:t2,L3,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[0.85, 0.15, 0.0, 0.0, 0.0]",ok,0,"[0.85, 0.1, 0.03, 0.01, 0.01]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.97, 0.02, 0.005, 0.003, 0.002]",ok,0,"[0.93, 0.06, 0.005, 0.003, 0.002]",ok,0,"[0.94, 0.06, 0.0, 0.0, 0.0]"
crisis:anthropic:0ad9eb2c:0:0452ef1d:t3,L3,,,,ok,2,"[0.02, 0.08, 0.85, 0.04, 0.01]",,,,,,,ok,2,"[0.0, 0.05, 0.85, 0.08, 0.02]",ok,2,"[0.03, 0.07, 0.65, 0.2, 0.05]",error,,,ok,2,"[0.05, 0.1, 0.75, 0.05, 0.05]",,,,ok,2,"[0.15, 0.2, 0.5, 0.1, 0.05]",ok,2,"[0.12, 0.22, 0.58, 0.05, 0.03]",ok,2,"[0.0, 0.0, 0.91, 0.0, 0.09]"
crisis:anthropic:0ad9eb2c:0:0452ef1d:t4,L3,,,,ok,2,"[0.02, 0.08, 0.75, 0.14, 0.01]",,,,,,,ok,2,"[0.0, 0.0, 0.85, 0.15, 0.0]",ok,2,"[0.02, 0.05, 0.75, 0.15, 0.03]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",,,,ok,2,"[0.01, 0.08, 0.88, 0.03, 0.0]",ok,2,"[0.01, 0.04, 0.85, 0.09, 0.01]",ok,2,"[0.0, 0.0, 0.97, 0.01, 0.02]"
crisis:anthropic:0ad9eb2c:0:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:0ad9eb2c:0:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[0.94, 0.06, 0.0, 0.0, 0.0]"
crisis:anthropic:0ad9eb2c:0:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,2,"[0.0, 0.0, 0.91, 0.0, 0.09]"
crisis:anthropic:0ad9eb2c:0:t4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,2,"[0.0, 0.0, 0.97, 0.01, 0.02]"
crisis:anthropic:0b688f4d:0:1075e81c:t1,L3,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.85, 0.1, 0.03, 0.01, 0.01]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.97, 0.02, 0.01, 0.0, 0.0]",ok,0,"[0.99, 0.005, 0.002, 0.002, 0.001]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:0b688f4d:0:1075e81c:t2,L3,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.85, 0.12, 0.02, 0.005, 0.005]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.96, 0.03, 0.005, 0.003, 0.002]",ok,0,"[0.85, 0.12, 0.02, 0.005, 0.005]",ok,0,"[0.99, 0.01, 0.0, 0.0, 0.0]"
crisis:anthropic:0b688f4d:0:1075e81c:t3,L3,,,,ok,2,"[0.02, 0.08, 0.85, 0.04, 0.01]",,,,,,,ok,3,"[0.0, 0.0, 0.05, 0.85, 0.1]",ok,4,"[0.0, 0.0, 0.05, 0.2, 0.75]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",,,,ok,2,"[0.02, 0.05, 0.84, 0.07, 0.02]",ok,2,"[0.0, 0.05, 0.9, 0.04, 0.01]",ok,2,"[0.0, 0.0, 0.96, 0.04, 0.0]"
crisis:anthropic:0b688f4d:0:1075e81c:t4,L3,,,,ok,2,"[0.02, 0.08, 0.85, 0.04, 0.01]",,,,,,,ok,2,"[0.0, 0.0, 0.85, 0.15, 0.0]",ok,4,"[0.02, 0.03, 0.1, 0.15, 0.7]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",,,,ok,2,"[0.03, 0.08, 0.74, 0.12, 0.03]",ok,2,"[0.01, 0.08, 0.86, 0.04, 0.01]",ok,2,"[0.0, 0.0, 0.91, 0.08, 0.01]"
crisis:anthropic:0b688f4d:0:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:0b688f4d:0:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[0.99, 0.01, 0.0, 0.0, 0.0]"
crisis:anthropic:0b688f4d:0:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,2,"[0.0, 0.0, 0.96, 0.04, 0.0]"
crisis:anthropic:0b688f4d:0:t4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,2,"[0.0, 0.0, 0.91, 0.08, 0.01]"
crisis:anthropic:0d045c8f:0:23f2f9df:t1,L2,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]",ok,0,"[0.85, 0.1, 0.03, 0.01, 0.01]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.98, 0.01, 0.005, 0.003, 0.002]",ok,0,"[0.99, 0.005, 0.002, 0.002, 0.001]",ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:0d045c8f:0:23f2f9df:t2,L2,,,,ok,0,"[0.85, 0.12, 0.02, 0.01, 0.0]",,,,,,,ok,0,"[0.85, 0.1, 0.03, 0.01, 0.01]",ok,1,"[0.3, 0.5, 0.15, 0.04, 0.01]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",,,,ok,0,"[0.92, 0.06, 0.01, 0.005, 0.005]",ok,0,"[0.93, 0.05, 0.01, 0.005, 0.005]",ok,0,"[0.93, 0.06, 0.01, 0.0, 0.0]"
crisis:anthropic:0d045c8f:0:23f2f9df:t3,L2,,,,ok,2,"[0.05, 0.1, 0.75, 0.08, 0.02]",,,,,,,ok,2,"[0.0, 0.05, 0.75, 0.15, 0.05]",ok,3,"[0.02, 0.05, 0.2, 0.6, 0.13]",error,,,ok,2,"[0.0, 0.0, 0.9, 0.1, 0.0]",,,,ok,2,"[0.02, 0.12, 0.7, 0.1, 0.06]",ok,2,"[0.01, 0.08, 0.78, 0.1, 0.03]",ok,2,"[0.0, 0.01, 0.87, 0.12, 0.0]"
crisis:anthropic:0d045c8f:0:23f2f9df:t4,L2,,,,ok,3,"[0.01, 0.02, 0.05, 0.85, 0.07]",,,,,,,ok,3,"[0.0, 0.0, 0.05, 0.9, 0.05]",ok,3,"[0.0, 0.02, 0.13, 0.75, 0.1]",error,,,ok,3,"[0.0, 0.0, 0.0, 0.9, 0.1]",,,,ok,3,"[0.01, 0.02, 0.08, 0.85, 0.04]",ok,3,"[0.01, 0.02, 0.05, 0.87, 0.05]",ok,3,"[0.0, 0.0, 0.0, 1.0, 0.0]"
crisis:anthropic:0d045c8f:0:t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
crisis:anthropic:0d045c8f:0:t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,0,"[0.93, 0.06, 0.01, 0.0, 0.0]"
crisis:anthropic:0d045c8f:0:t3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,2,"[0.0, 0.01, 0.87, 0.12, 0.0]"
crisis:anthropic:0d045c8f:0:t4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,3,"[0.0, 0.0, 0.0, 1.0, 0.0]"
crisis:anthropic:0d361bfb:0:0bbebca5:t1,none,,,,ok,0,"[0.95, 0.04, 0.01, 0.0, 0.0]",ok,0,"[0.4, 0.35, 0.15, 0.06, 0.04]",,,,ok,0,"[0.95, 0.04, 0.005, 0.004, 0.001]",ok,0,"[0.85, 0.1, 0.03, 0.01, 0.01]",error,,,ok,0,"[0.95, 0.03, 0.01, 0.01, 0.0]",ok,0,"[0.97, 0.02, 0.005, 0.003, 0.002]",ok,0,"[0.86, 0.12, 0.01, 0.01, 0.0]",ok,0,"[0.93, 0.06, 0.005, 0.003, 0.002]",ok,0,"[0.98, 0.02, 0.0, 0.0, 0.0]"
